Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
17518950405,"Feb 24, 2026, 4:13:16 PM",Evening Trail Run,Run,"",2562,4.95,190.0,37,,,,activities/18616390704.fit.gz,,,2562.0,2242.0,4957.0,3.4,2.211,84.0,82.0,199.0,217.0,20.0,0.0,,,86.0,80.0,190.0,147.0,,166.0,412.0,,19.0,37.0,,,,,,,,,160.0,2563.0,,,0.0,,1.0,5186.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1.935,3831.0,,,,5918.0,0.0,,72.0,101.0,2.313,,,,,,,,,,,,""
17493619643,"Feb 23, 2026, 10:41:41 AM",Lunch Stand Up Paddling,Stand Up Paddling,"",4004,3.98,145.0,8,,,,activities/18590985995.fit.gz,,,4004.0,3216.0,3986.0,2.4,1.239,0.0,0.0,-3.0,3.4,29.9,0.1,,,116.0,41.0,145.0,104.0,,,341.0,,23.0,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17493619085,"Feb 22, 2026, 10:40:19 AM",Lunch Workout,Workout,"",3864,3.26,146.0,4,,,,activities/18590985427.fit.gz,,,3864.0,1387.0,3263.0,6.8,2.353,74.0,75.0,170.2,217.4,34.3,0.1,,,254.0,84.0,146.0,110.0,,,355.0,,24.0,4.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.844,2171.0,,,,,0.0,,,,,,1274.0,,,,,,,,,,""
17493618566,"Feb 21, 2026, 9:15:06 AM",Lunch Trail Run,Run,"",5215,9.94,173.0,50,,,,activities/18590984871.fit.gz,,,5215.0,4861.0,9942.0,3.2,2.045,425.0,412.0,183.4,449.2,49.1,0.1,,,94.0,78.0,173.0,138.0,,160.0,792.0,,25.0,50.0,,,,,,,,,159.0,5216.0,,,0.0,,1.0,11984.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.906,6513.0,,,,12892.0,0.0,,147.0,101.0,2.465,,,,,,,,,,,,""
17464114530,"Feb 14, 2026, 3:31:30 PM",Afternoon Weight Training,Weight Training,"",3023,0,130.0,7,,,,activities/18561290911.fit.gz,,,3023.0,3023.0,0.0,0.0,0.0,0.0,0.0,217.4,217.4,0.0,0.0,,,,,130.0,101.0,,,264.0,,21.0,7.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17464114345,"Feb 14, 2026, 10:03:43 AM",Lunch Trail Run,Run,"",4243,8.41,188.0,53,,,,activities/18561290574.fit.gz,,,4243.0,3918.0,8410.0,4.0,2.147,293.0,264.0,197.0,448.2,48.9,0.3,,,93.0,79.0,188.0,144.0,,169.0,684.0,,25.0,53.0,,,,,,,,,170.0,4243.0,,,0.0,,1.0,9649.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.982,7021.0,,,,10214.0,0.0,,136.0,108.0,2.463,,,,,,,,,,,,""
17340628731,"Feb 8, 2026, 10:00:11 AM",Lunch Trail Run,Run,"",4235,4.93,156.0,14,,,,activities/18437331067.fit.gz,,,4235.0,3611.0,4934.0,2.8,1.366,612.0,34.0,490.4,1071.8,49.2,11.7,,,83.0,61.0,156.0,117.0,,140.0,464.0,,24.0,14.0,,,,,,,,,142.0,4236.0,,,0.0,,1.0,8643.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1.165,4699.0,,,,7718.0,0.0,,95.0,90.0,2.394,,,,,,,,,,,,""
17317015854,"Feb 7, 2026, 11:08:32 AM",Afternoon Trail Run,Run,"",5671,13.30,193.0,107,,,,activities/18413416422.fit.gz,,,5671.0,5381.0,13307.0,5.2,2.473,334.0,303.0,210.4,370.6,47.5,0.2,,,90.0,79.0,193.0,152.0,,195.0,1064.0,,26.0,107.0,,,,,,,,,200.0,5672.0,,,0.0,,1.0,14687.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.346,12125.0,,,,13746.0,0.0,,253.0,127.0,2.73,,,,,,,,,,,,""
17295149471,"Feb 3, 2026, 4:08:14 PM",Evening Trail Run,Run,"",299,0.22,,,,,,activities/18391361321.fit.gz,,,299.0,299.0,225.0,2.0,0.753,7.0,6.0,206.2,213.2,44.4,-0.4,,,81.0,62.0,,,,62.0,63.0,,19.0,,,,,,,,,,79.0,300.0,,,0.0,,1.0,263.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.753,0.0,,,,,0.0,,2.0,50.0,0.881,,,,,,,,,,,,""
17295149466,"Feb 3, 2026, 3:44:45 PM",Afternoon Weight Training,Weight Training,"",1409,0,,,,,,activities/18391361320.fit.gz,,,1409.0,1409.0,0.0,0.0,0.0,0.0,0.0,212.0,212.0,0.0,0.0,,,56.0,0.0,,,,30.0,,,19.0,,,,,,,,,,30.0,1410.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,1.0,19.0,,,,,,,,,,,,,""
17295149503,"Feb 3, 2026, 3:00:28 PM",Afternoon Trail Run,Run,"",2655,6.78,186.0,26,,,,activities/18391361239.fit.gz,,,2655.0,2548.0,6782.0,5.4,2.662,45.0,43.0,207.2,215.8,22.2,0.0,,,88.0,84.0,186.0,143.0,,196.0,278.0,,17.0,26.0,,,,,,,,,194.0,2656.0,,,0.0,,1.0,6885.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.554,6673.0,,,,,0.0,,111.0,123.0,2.702,,,,,,,,,,,,""
17261663514,"Feb 2, 2026, 3:24:48 PM",Afternoon Trail Run,Run,"",3201,8.35,182.0,36,,,,activities/18357658812.fit.gz,,,3201.0,3036.0,8350.0,7.8,2.75,101.0,100.0,203.0,220.8,40.0,0.0,,,114.0,82.0,182.0,141.0,,217.0,529.0,,18.0,36.0,,,,,,,,,219.0,3202.0,,,0.0,,1.0,8666.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.609,6412.0,,,,7808.0,0.0,,171.0,139.0,2.855,,,,,,,,,,,,""
17252198288,"Feb 1, 2026, 10:01:22 AM",Lunch Trail Run,Run,"",3463,6.26,165.0,24,,,,activities/18348108086.fit.gz,,,3463.0,3163.0,6264.0,3.6,1.98,343.0,316.0,172.6,454.2,48.9,0.4,,,94.0,78.0,165.0,136.0,,162.0,536.0,,24.0,24.0,,,,,,,,,164.0,3464.0,,,0.0,,1.0,8096.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.809,3172.0,,,,8194.0,0.0,,103.0,104.0,2.56,,,,,,,,,,,,""
17246622337,"Jan 31, 2026, 12:22:11 PM",Afternoon Workout,Workout,"",3626,4.61,166.0,11,,,,activities/18342456180.fit.gz,,,3626.0,2484.0,4610.0,6.4,1.856,140.0,126.0,196.0,222.0,40.0,0.3,,,254.0,75.0,166.0,122.0,,,406.0,,22.0,11.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.271,4176.0,,,,,0.0,,,,,,6268.0,,,,,,,,,,""
17246620225,"Jan 29, 2026, 3:40:16 PM",Afternoon Weight Training,Weight Training,"",3115,0,152.0,7,,,,activities/18342454131.fit.gz,,,3115.0,3115.0,0.0,0.0,0.0,4.0,6.0,223.0,227.4,0.0,0.0,,,,,152.0,98.0,,,241.0,,24.0,7.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17207564272,"Jan 28, 2026, 2:12:40 PM",Afternoon Trail Run,Run,"",5845,12.93,188.0,74,,,,activities/18303108974.fit.gz,,,5845.0,5490.0,12931.0,4.6,2.355,426.0,426.0,213.4,449.6,48.9,0.0,,,92.0,80.0,188.0,146.0,,186.0,946.0,,19.0,74.0,,,,,,,,,183.0,5846.0,,,0.0,,1.0,14617.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2.212,9513.0,,,,14410.0,0.0,,218.0,116.0,2.663,,,,,,,,,,,,""
17195065764,"Jan 27, 2026, 3:03:38 PM",Afternoon Trail Run,Run,"",2697,7.40,183.0,44,,,,activities/18290552955.fit.gz,,,2697.0,2546.0,7403.0,6.0,2.908,49.0,45.0,204.6,213.6,26.7,0.0,,,107.0,86.0,183.0,149.0,,217.0,502.0,,17.0,44.0,,,,,,,,,227.0,2698.0,,,0.0,,1.0,7511.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.745,6878.5,,,,6934.0,0.0,,155.0,144.0,2.95,,,,,,,,,,,,""
17190343145,"Jan 25, 2026, 1:00:57 PM",Afternoon Weight Training,Weight Training,"",2072,0,128.0,3,,,,activities/18285774860.fit.gz,,,2072.0,2072.0,0.0,0.0,0.0,0.0,0.0,219.0,220.4,0.0,0.0,,,,,128.0,86.0,,,143.0,,26.0,3.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17190343360,"Jan 25, 2026, 11:24:06 AM",Afternoon Trail Run,Run,"",4161,9.32,169.0,33,,,,activities/18285775108.fit.gz,,,4161.0,4135.0,9321.0,3.6,2.254,274.0,267.0,207.8,452.8,37.5,0.1,,,89.0,83.0,169.0,135.0,,184.0,599.0,,19.0,33.0,,,,,,,,,183.0,4162.0,,,0.0,,1.0,10285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,8303.0,,,,10700.0,0.0,,155.0,116.0,2.487,,,,,,,,,,,,""
17190342938,"Jan 24, 2026, 5:06:51 PM",Evening Weight Training,Weight Training,"",2198,0,135.0,6,,,,activities/18285774748.fit.gz,,,2198.0,2198.0,0.0,0.0,0.0,0.0,0.0,218.4,224.0,0.0,0.0,,,,,135.0,109.0,,,228.0,,25.0,6.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17190340759,"Jan 24, 2026, 10:34:31 AM",Lunch Trail Run,Run,"",3439,7.39,160.0,24,,,,activities/18285772374.fit.gz,,,3439.0,3394.0,7396.0,3.2,2.179,247.0,239.0,215.6,453.2,37.8,0.1,,,93.0,80.0,160.0,134.0,,170.0,535.0,,23.0,24.0,,,,,,,,,172.0,3440.0,,,0.0,,1.0,8354.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.151,6392.0,,,,8826.0,0.0,,113.0,109.0,2.461,,,,,,,,,,,,""
17190340154,"Jan 23, 2026, 4:17:45 PM",Evening Trail Run,Run,"",2868,8.24,178.0,68,,,,activities/18285771747.fit.gz,,,2868.0,2739.0,8246.0,4.8,3.011,66.0,63.0,201.6,213.4,20.0,0.0,,,90.0,85.0,178.0,158.0,,221.0,625.0,,17.0,68.0,,,,,,,,,222.0,2869.0,,,0.0,,1.0,8468.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2.875,7580.0,,,,7786.0,0.0,,157.0,141.0,3.092,,,,,,,,,,,,""
17140136106,"Jan 22, 2026, 3:09:45 PM",Afternoon Trail Run,Run,"",2842,7.54,181.0,39,,,,activities/18235153489.fit.gz,,,2842.0,2510.0,7546.0,6.9,3.006,67.0,66.0,198.4,211.4,20.0,0.0,,,113.0,84.0,181.0,146.0,,224.0,489.0,,19.0,39.0,,,,,,,,,216.0,2843.0,,,0.0,,1.0,7701.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2.655,7012.0,,,,6996.0,0.0,,147.0,137.0,3.068,,,,,,,,,,,,""
17140130782,"Jan 21, 2026, 4:30:40 PM",Evening Weight Training,Weight Training,"",1756,0,143.0,5,,,,activities/18235148248.fit.gz,,,1756.0,1756.0,0.0,0.0,0.0,0.0,0.0,227.4,232.8,0.0,0.0,,,,,143.0,111.0,,,208.0,,23.0,5.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17124010810,"Jan 20, 2026, 4:11:05 PM",Evening Weight Training,Weight Training,"",2335,0,145.0,5,,,,activities/18218886589.fit.gz,,,2335.0,2335.0,0.0,0.0,0.0,3.0,3.0,211.2,214.6,0.0,0.0,,,,,145.0,97.0,,,187.0,,23.0,5.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17111796407,"Jan 19, 2026, 5:33:09 PM",Evening Trail Run,Run,"",2720,7.46,188.0,53,,,,activities/18206587698.fit.gz,,,2720.0,2606.0,7467.0,5.6,2.865,254.0,259.0,172.2,216.0,20.0,-0.1,,,98.0,86.0,188.0,154.0,,226.0,533.0,,12.0,53.0,,,,,,,,,224.0,2721.0,,,0.0,,1.0,8158.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.745,538.5,,,,7436.0,0.0,,152.0,142.0,3.131,,,,,,,,,,,,""
17059168172,"Jan 9, 2026, 3:23:58 PM",Afternoon Weight Training,Weight Training,"",1500,0,121.0,2,,,,activities/18153462980.fit.gz,,,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,199.4,201.0,0.0,0.0,,,,,121.0,90.0,,,105.0,,25.0,2.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
16969530004,"Jan 7, 2026, 3:46:54 PM",Afternoon Workout,Workout,"",2849,4.09,191.0,27,,,,activities/18063036392.fit.gz,,,2849.0,1951.0,4095.0,3.8,2.099,96.0,93.0,196.2,213.6,40.0,0.0,,,89.0,81.0,191.0,144.0,,,359.0,,22.0,27.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.437,3520.0,,,,,0.0,,,,,,5366.0,,,,,,,,,,""
